time,generation solar,generation wind onshore,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other renewable
2015-01-01 00:00:00+00:00,49.0,6378.0,863.0,1051.0,1899.0,7096.0,73.0
2015-01-01 01:00:00+00:00,50.0,5890.0,920.0,1009.0,1658.0,7096.0,71.0
2015-01-01 02:00:00+00:00,50.0,5461.0,1164.0,973.0,1371.0,7099.0,73.0
2015-01-01 03:00:00+00:00,50.0,5238.0,1503.0,949.0,779.0,7098.0,75.0
2015-01-01 04:00:00+00:00,42.0,4935.0,1826.0,953.0,720.0,7097.0,74.0
2015-01-01 05:00:00+00:00,34.0,4618.0,2109.0,952.0,743.0,7098.0,74.0
2015-01-01 06:00:00+00:00,34.0,4397.0,2108.0,961.0,848.0,7098.0,74.0
2015-01-01 07:00:00+00:00,35.0,3992.0,2031.0,983.0,1012.0,7099.0,72.0
2015-01-01 08:00:00+00:00,54.0,3629.0,2119.0,1001.0,1015.0,7098.0,73.0
2015-01-01 09:00:00+00:00,743.0,3073.0,2170.0,1041.0,1357.0,7097.0,74.0
2015-01-01 10:00:00+00:00,2019.0,2683.0,2020.0,1041.0,1817.0,7096.0,72.0
2015-01-01 11:00:00+00:00,3197.0,2771.0,1183.0,1069.0,1516.0,7097.0,73.0
2015-01-01 12:00:00+00:00,3885.0,2906.0,972.0,1052.0,1204.0,7097.0,75.0
2015-01-01 13:00:00+00:00,4007.0,2923.0,922.0,1041.0,1286.0,7099.0,74.0
2015-01-01 14:00:00+00:00,3973.0,2945.0,941.0,1028.0,1027.0,7097.0,76.0
2015-01-01 15:00:00+00:00,3818.0,2709.0,1069.0,1023.0,1151.0,7096.0,76.0
2015-01-01 16:00:00+00:00,3088.0,2552.0,970.0,1032.0,1156.0,7095.0,75.0
2015-01-01 17:00:00+00:00,1467.0,2699.0,798.0,1036.0,1626.0,7095.0,75.0
2015-01-01 18:00:00+00:00,404.0,2764.0,1.0,1094.0,3203.0,7096.0,74.0
2015-01-01 19:00:00+00:00,139.0,2913.0,1.0,1153.0,5333.0,7096.0,76.0
2015-01-01 20:00:00+00:00,100.0,3118.0,0.0,1214.0,6183.0,7096.0,74.0
2015-01-01 21:00:00+00:00,75.0,3373.0,0.0,1220.0,6231.0,7096.0,74.0
2015-01-01 22:00:00+00:00,74.0,3508.0,0.0,1178.0,5359.0,7098.0,74.0
2015-01-01 23:00:00+00:00,56.0,3527.0,0.0,1095.0,3511.0,7098.0,74.0
2015-01-02 00:00:00+00:00,54.0,13232.0,1290.0,1268.0,3871.0,7106.0,62.0
2015-01-02 01:00:00+00:00,54.0,12760.0,1996.0,1263.0,2996.0,7106.0,61.0
2015-01-02 02:00:00+00:00,54.0,12174.0,2698.0,1246.0,2581.0,7107.0,60.0
2015-01-02 03:00:00+00:00,53.0,11358.0,3269.0,1248.0,2933.0,7107.0,59.0
2015-01-02 04:00:00+00:00,53.0,11199.0,3267.0,1233.0,2646.0,7106.0,61.0
2015-01-02 05:00:00+00:00,63.0,11152.0,3258.0,1225.0,2529.0,7105.0,59.0
2015-01-02 06:00:00+00:00,55.0,11169.0,3256.0,1241.0,2658.0,7105.0,60.0
2015-01-02 07:00:00+00:00,54.0,11205.0,2987.0,1247.0,2706.0,7105.0,60.0
2015-01-02 08:00:00+00:00,116.0,10920.0,2447.0,1274.0,3090.0,7105.0,59.0
2015-01-02 09:00:00+00:00,1039.0,10491.0,1907.0,1297.0,3579.0,7107.0,59.0
2015-01-02 10:00:00+00:00,2373.0,10156.0,938.0,1319.0,4289.0,7107.0,60.0
2015-01-02 11:00:00+00:00,3699.0,10421.0,747.0,1333.0,4332.0,7106.0,59.0
2015-01-02 12:00:00+00:00,4154.0,11230.0,864.0,1324.0,3619.0,7104.0,60.0
2015-01-02 13:00:00+00:00,4074.0,11920.0,906.0,1281.0,3392.0,7105.0,61.0
2015-01-02 14:00:00+00:00,3851.0,11819.0,1047.0,1281.0,3487.0,7105.0,58.0
2015-01-02 15:00:00+00:00,3619.0,11961.0,1491.0,1284.0,2984.0,7105.0,57.0
2015-01-02 16:00:00+00:00,3024.0,12025.0,1975.0,1283.0,3104.0,7106.0,59.0
2015-01-02 17:00:00+00:00,2053.0,12077.0,1760.0,1295.0,3102.0,7105.0,59.0
2015-01-02 18:00:00+00:00,769.0,11276.0,595.0,1324.0,3886.0,7106.0,64.0
2015-01-02 19:00:00+00:00,266.0,10510.0,78.0,1352.0,5553.0,7104.0,68.0
2015-01-02 20:00:00+00:00,165.0,10406.0,68.0,1369.0,5604.0,7106.0,69.0
2015-01-02 21:00:00+00:00,137.0,10445.0,68.0,1370.0,5902.0,7107.0,69.0
2015-01-02 22:00:00+00:00,137.0,9976.0,68.0,1365.0,5347.0,7107.0,66.0
2015-01-02 23:00:00+00:00,137.0,9527.0,68.0,1323.0,4969.0,7108.0,64.0
2015-01-03 00:00:00+00:00,62.0,9264.0,502.0,1423.0,3719.0,7096.0,76.0
2015-01-03 01:00:00+00:00,62.0,9135.0,1048.0,1392.0,3482.0,7095.0,68.0
2015-01-03 02:00:00+00:00,61.0,9362.0,1880.0,1296.0,3060.0,7096.0,66.0
2015-01-03 03:00:00+00:00,61.0,9628.0,2441.0,1245.0,2474.0,7098.0,68.0
2015-01-03 04:00:00+00:00,61.0,9607.0,2767.0,1221.0,2266.0,7097.0,67.0
2015-01-03 05:00:00+00:00,61.0,9666.0,2953.0,1212.0,2449.0,7098.0,66.0
2015-01-03 06:00:00+00:00,61.0,9743.0,2744.0,1215.0,2620.0,7099.0,68.0
2015-01-03 07:00:00+00:00,63.0,9401.0,2279.0,1295.0,2559.0,7098.0,67.0
2015-01-03 08:00:00+00:00,233.0,8363.0,2152.0,1295.0,3335.0,7097.0,66.0
2015-01-03 09:00:00+00:00,820.0,7924.0,1081.0,1380.0,4229.0,7097.0,68.0
2015-01-03 10:00:00+00:00,1665.0,7592.0,341.0,1421.0,4827.0,7097.0,68.0
2015-01-03 11:00:00+00:00,2488.0,7874.0,325.0,1424.0,4429.0,7093.0,71.0
2015-01-03 12:00:00+00:00,3218.0,8192.0,409.0,1417.0,4309.0,7094.0,64.0
2015-01-03 13:00:00+00:00,3695.0,8718.0,1095.0,1390.0,3784.0,7095.0,64.0
2015-01-03 14:00:00+00:00,3780.0,9152.0,1750.0,1285.0,3709.0,7093.0,64.0
2015-01-03 15:00:00+00:00,3370.0,9382.0,2141.0,1277.0,3320.0,7092.0,62.0
2015-01-03 16:00:00+00:00,2692.0,9307.0,2175.0,1279.0,3919.0,7092.0,61.0
2015-01-03 17:00:00+00:00,1931.0,8892.0,1936.0,1302.0,4256.0,7095.0,59.0
2015-01-03 18:00:00+00:00,1015.0,8568.0,1271.0,1478.0,4812.0,7094.0,62.0
2015-01-03 19:00:00+00:00,502.0,9005.0,129.0,1544.0,5753.0,7094.0,66.0
2015-01-03 20:00:00+00:00,355.0,9672.0,0.0,1583.0,5946.0,7096.0,67.0
2015-01-03 21:00:00+00:00,291.0,10081.0,0.0,1572.0,5985.0,7095.0,69.0
2015-01-03 22:00:00+00:00,207.0,10537.0,117.0,1546.0,5519.0,7094.0,71.0
2015-01-03 23:00:00+00:00,117.0,10953.0,587.0,1502.0,4505.0,7094.0,70.0
2015-01-04 00:00:00+00:00,692.0,8540.0,1045.0,1502.0,1991.0,7086.0,58.0
2015-01-04 01:00:00+00:00,684.0,8080.0,1257.0,1494.0,1867.0,7087.0,58.0
2015-01-04 02:00:00+00:00,648.0,7773.0,1629.0,1484.0,1414.0,7086.0,57.0
2015-01-04 03:00:00+00:00,640.0,7601.0,1962.0,1472.0,1355.0,7086.0,56.0
2015-01-04 04:00:00+00:00,563.0,7584.0,2185.0,1438.0,1431.0,7087.0,56.0
2015-01-04 05:00:00+00:00,372.0,7812.0,1795.0,1457.0,1534.0,7086.0,58.0
2015-01-04 06:00:00+00:00,179.0,7950.0,1341.0,1352.0,2284.0,7085.0,54.0
2015-01-04 07:00:00+00:00,129.0,8228.0,378.0,1433.0,3188.0,7086.0,56.0
2015-01-04 08:00:00+00:00,357.0,8341.0,0.0,1561.0,3521.0,7080.0,53.0
2015-01-04 09:00:00+00:00,1634.0,8569.0,0.0,1573.0,4286.0,7080.0,54.0
2015-01-04 10:00:00+00:00,3830.0,8433.0,17.0,1451.0,3921.0,7079.0,55.0
2015-01-04 11:00:00+00:00,4937.0,8001.0,119.0,1519.0,4023.0,7083.0,60.0
2015-01-04 12:00:00+00:00,5302.0,7520.0,72.0,1533.0,3997.0,7085.0,57.0
